node_group,operation,type_pair,feature_group,edge_count,loss_drop_mean,loss_drop_median,loss_drop_p10,loss_drop_p90
TP_above_threshold,CREATE,subject->file,src_embedding,1,-0.214409828,-0.214409828,-0.214409828,-0.214409828
TP_above_threshold,CREATE,subject->file,src_type,1,0.169215202,0.169215202,0.169215202,0.169215202
TP_above_threshold,CREATE,subject->file,dst_embedding,1,5.793301582,5.793301582,5.793301582,5.793301582
TP_above_threshold,CREATE,subject->file,dst_type,1,3.097404957,3.097404957,3.097404957,3.097404957
FP_above_threshold,CREATE,subject->file,src_embedding,5,4.869133891,8.447429723,-0.740906429,8.602276861
FP_above_threshold,CREATE,subject->file,src_type,5,-0.092700481,0.071768761,-0.460385227,0.130236626
FP_above_threshold,CREATE,subject->file,dst_embedding,5,1.470892334,-0.229146957,-0.322187423,4.437448311
FP_above_threshold,CREATE,subject->file,dst_type,5,-2.730219078,-4.706154823,-4.713776588,0.811509800
FP_above_threshold,MODIFY,subject->file,src_embedding,5,8.021433640,8.261360765,7.541579389,8.261360765
FP_above_threshold,MODIFY,subject->file,src_type,5,1.697605801,1.887492180,1.317833042,1.887492180
FP_above_threshold,MODIFY,subject->file,dst_embedding,5,2.150457382,2.410244942,1.630882263,2.410244942
FP_above_threshold,MODIFY,subject->file,dst_type,5,-2.396310997,-2.277613640,-2.633705712,-2.277613640
FP_above_threshold,RENAME,subject->file,src_embedding,4,-5.863049745,-5.863049745,-8.721758842,-3.004340649
FP_above_threshold,RENAME,subject->file,src_type,4,2.062631846,2.062631846,1.539098740,2.586164951
FP_above_threshold,RENAME,subject->file,dst_embedding,4,3.301152825,3.301152825,3.209494352,3.392811298
FP_above_threshold,RENAME,subject->file,dst_type,4,0.174597025,0.174597025,-0.433113098,0.782307148
FP_above_threshold,CREATE,subject->subject,src_embedding,2,-1.981824398,-1.981824398,-1.981824398,-1.981824398
FP_above_threshold,CREATE,subject->subject,src_type,2,-2.927228451,-2.927228451,-2.927228451,-2.927228451
FP_above_threshold,CREATE,subject->subject,dst_embedding,2,2.971936703,2.971936703,2.971936703,2.971936703
FP_above_threshold,CREATE,subject->subject,dst_type,2,5.832957506,5.832957506,5.832957506,5.832957506
FP_above_threshold,WRITE,subject->file,src_embedding,2,-2.297748566,-2.297748566,-2.297748566,-2.297748566
FP_above_threshold,WRITE,subject->file,src_type,2,4.072597504,4.072597504,4.072597504,4.072597504
FP_above_threshold,WRITE,subject->file,dst_embedding,2,5.569162965,5.569162965,5.569162965,5.569162965
FP_above_threshold,WRITE,subject->file,dst_type,2,-1.882462502,-1.882462502,-1.882462502,-1.882462502
FP_above_threshold,DELETE,subject->file,src_embedding,1,-1.091904163,-1.091904163,-1.091904163,-1.091904163
FP_above_threshold,DELETE,subject->file,src_type,1,-0.749415874,-0.749415874,-0.749415874,-0.749415874
FP_above_threshold,DELETE,subject->file,dst_embedding,1,2.403668404,2.403668404,2.403668404,2.403668404
FP_above_threshold,DELETE,subject->file,dst_type,1,-2.617332935,-2.617332935,-2.617332935,-2.617332935
FN_below_threshold,MESSAGE,netflow->subject,src_embedding,1424,-0.684143276,-0.678968664,-0.679137313,-0.678824959
FN_below_threshold,MESSAGE,netflow->subject,src_type,1424,0.005863359,0.001173795,0.000991468,0.001336873
FN_below_threshold,MESSAGE,netflow->subject,dst_embedding,1424,-0.252251095,-0.258250071,-0.266291851,-0.245771520
FN_below_threshold,MESSAGE,netflow->subject,dst_type,1424,0.000889781,0.000327495,0.000272261,0.000362446
FN_below_threshold,MESSAGE,subject->netflow,src_embedding,1415,0.465480478,0.460071534,0.460071534,0.460071534
FN_below_threshold,MESSAGE,subject->netflow,src_type,1415,-1.559252472,-1.562078118,-1.562078118,-1.562078118
FN_below_threshold,MESSAGE,subject->netflow,dst_embedding,1415,0.219569195,0.218904078,0.218904078,0.218904078
FN_below_threshold,MESSAGE,subject->netflow,dst_type,1415,-2.274294131,-2.334092021,-2.334092021,-2.334092021
FN_below_threshold,CREATE,subject->subject,src_embedding,24,0.296583583,0.493830085,-1.446313155,1.017458260
FN_below_threshold,CREATE,subject->subject,src_type,24,-4.102773279,-3.700550318,-5.374183130,-2.972011602
FN_below_threshold,CREATE,subject->subject,dst_embedding,24,-2.251303991,-2.085702777,-3.007440043,-1.045992732
FN_below_threshold,CREATE,subject->subject,dst_type,24,1.667443213,1.427268088,0.884561539,2.844046363
FN_below_threshold,START,subject->netflow,src_embedding,11,-0.525386171,-0.721326590,-0.721326590,-0.288041592
FN_below_threshold,START,subject->netflow,src_type,11,0.645621786,0.600229144,0.600229144,0.696911633
FN_below_threshold,START,subject->netflow,dst_embedding,11,-0.097541256,-0.153570175,-0.153570175,-0.031036496
FN_below_threshold,START,subject->netflow,dst_type,11,-0.705405820,-0.873851299,-0.873851299,-0.416715026
FN_below_threshold,START,netflow->subject,src_embedding,8,-0.039241217,-0.060013711,-0.060013711,-0.010159725
FN_below_threshold,START,netflow->subject,src_type,8,-0.487000033,-0.394596100,-0.616365540,-0.394596100
FN_below_threshold,START,netflow->subject,dst_embedding,8,0.006673284,0.056419075,-0.062970823,0.056419075
FN_below_threshold,START,netflow->subject,dst_type,8,0.056745596,0.064407945,0.046018309,0.064407945
FN_below_threshold,OPEN,subject->subject,src_embedding,6,0.694180335,0.796635419,0.029178649,1.256726936
