node_group,description,nodes,malicious,benign,above_threshold,score_mean,score_p50,score_p90,score_p99,score_max,responsible_loss_p50,responsible_loss_max,incident_edges_p50,incident_edges_p90,incident_edges_max,score_matches_responsible_loss
TP_above_threshold,TP: malicious above threshold,1,1,0,1,10.881748199,10.881748199,10.881748199,10.881748199,10.881748199,10.881748199,10.881748199,842055.000,842055.000,842055.000,1
FP_above_threshold,FP: benign above threshold,19,0,19,19,7.784646285,7.465018272,8.606135368,10.472137890,10.881748199,7.465018272,10.881748199,25.000,431.000,60121.000,19
FN_below_threshold,FN: malicious below threshold,2904,2904,0,0,0.398199120,0.730994046,0.730994165,1.726579944,4.924786091,0.730994046,4.924786091,2.000,2.000,1905830.000,2904
TN_high_below_threshold,Top 500 benign nodes just below threshold,500,0,500,0,4.821605775,4.585222721,6.277179527,6.749672046,6.862918377,4.585222721,6.862918377,9.000,223.200,565991.000,500
TN_other,Other benign below threshold,1434510,0,1434510,0,0.372390356,0.064280152,0.698003769,1.986711860,3.895265102,0.064280152,3.895265102,2.000,2.000,1281643.000,1434510
