node_group,operation,type_pair,feature_group,edge_count,loss_drop_mean,loss_drop_median,loss_drop_p10,loss_drop_p90
TN_high_below_threshold,CREATE,subject->file,dst_embedding,217,-0.133212892,-0.141937494,-0.157852125,-0.120657062
TN_high_below_threshold,CREATE,subject->file,dst_type,217,2.127127738,2.206314206,2.118005157,2.301197529
TN_high_below_threshold,DELETE,subject->file,src_embedding,165,-1.027583287,-1.130606651,-1.276371288,-0.733225346
TN_high_below_threshold,DELETE,subject->file,src_type,165,0.729507922,0.774585724,0.383012533,0.953734302
TN_high_below_threshold,DELETE,subject->file,dst_embedding,165,-0.259208775,-0.242522240,-0.334391975,-0.184912205
TN_high_below_threshold,DELETE,subject->file,dst_type,165,-1.074846032,-1.644165993,-2.126788616,0.830460644
TN_high_below_threshold,RENAME,subject->file,src_embedding,71,-1.217606706,-1.217432976,-1.219982147,-1.216036320
TN_high_below_threshold,RENAME,subject->file,src_type,71,2.349427715,2.346937895,2.343457341,2.359432459
TN_high_below_threshold,RENAME,subject->file,dst_embedding,71,-0.275843842,-0.282931328,-0.297699451,-0.249112129
TN_high_below_threshold,RENAME,subject->file,dst_type,71,0.925534624,0.919689417,0.900709152,0.956364870
TN_high_below_threshold,WRITE,subject->file,src_embedding,25,2.697269893,3.012732863,2.623079586,3.123936534
TN_high_below_threshold,WRITE,subject->file,src_type,25,0.092103085,-0.025781155,-0.078165054,0.074241590
TN_high_below_threshold,WRITE,subject->file,dst_embedding,25,0.055436430,0.073961735,-0.028287602,0.150629997
TN_high_below_threshold,WRITE,subject->file,dst_type,25,-2.822324648,-3.041439533,-3.224471665,-2.590537262
TN_high_below_threshold,MODIFY,subject->file,src_embedding,22,-0.185297538,-1.192376375,-1.276240826,3.474601376
TN_high_below_threshold,MODIFY,subject->file,src_type,22,0.874438779,0.702301979,-0.205020523,2.576897109
TN_high_below_threshold,MODIFY,subject->file,dst_embedding,22,-0.142464768,-0.184912205,-0.330584263,0.052604198
TN_high_below_threshold,MODIFY,subject->file,dst_type,22,-0.858304462,-0.676901340,-2.499378252,2.189492702
