case,rank,node_id,node_group,operation,type_pair,group,original_loss,ablated_loss,loss_drop_when_zeroed,captum_attr_sum,captum_attr_mean
FP_above_threshold:394:186196,394,186196,FP_above_threshold,EVENT_EXECUTE,file->subject,src_type,7.137759686,4.217401505,2.920358181,8.761074066,2.920357943
FP_above_threshold:394:186196,394,186196,FP_above_threshold,EVENT_EXECUTE,file->subject,dst_embedding,7.137759686,6.478310585,0.659449100,42.204742432,0.659449100
FP_above_threshold:394:186196,394,186196,FP_above_threshold,EVENT_EXECUTE,file->subject,dst_type,7.137759686,5.934995651,1.202764034,3.608292103,1.202764034
FP_above_threshold:395:186146,395,186146,FP_above_threshold,EVENT_EXECUTE,file->subject,src_embedding,7.137759686,6.273558617,0.864201069,55.308868408,0.864201069
FP_above_threshold:395:186146,395,186146,FP_above_threshold,EVENT_EXECUTE,file->subject,src_type,7.137759686,4.217401505,2.920358181,8.761074066,2.920357943
FP_above_threshold:395:186146,395,186146,FP_above_threshold,EVENT_EXECUTE,file->subject,dst_embedding,7.137759686,6.478310585,0.659449100,42.204742432,0.659449100
FP_above_threshold:395:186146,395,186146,FP_above_threshold,EVENT_EXECUTE,file->subject,dst_type,7.137759686,5.934995651,1.202764034,3.608292103,1.202764034
FP_above_threshold:396:436134,396,436134,FP_above_threshold,EVENT_EXECUTE,file->subject,src_embedding,7.137759686,6.273558617,0.864201069,55.308868408,0.864201069
FP_above_threshold:396:436134,396,436134,FP_above_threshold,EVENT_EXECUTE,file->subject,src_type,7.137759686,4.217401505,2.920358181,8.761074066,2.920357943
FP_above_threshold:396:436134,396,436134,FP_above_threshold,EVENT_EXECUTE,file->subject,dst_embedding,7.137759686,6.478310585,0.659449100,42.204742432,0.659449100
FP_above_threshold:396:436134,396,436134,FP_above_threshold,EVENT_EXECUTE,file->subject,dst_type,7.137759686,5.934995651,1.202764034,3.608292103,1.202764034
FP_above_threshold:397:434164,397,434164,FP_above_threshold,EVENT_EXECUTE,file->subject,src_embedding,7.137759686,6.273558617,0.864201069,55.308868408,0.864201069
FP_above_threshold:397:434164,397,434164,FP_above_threshold,EVENT_EXECUTE,file->subject,src_type,7.137759686,4.217401505,2.920358181,8.761074066,2.920357943
FP_above_threshold:397:434164,397,434164,FP_above_threshold,EVENT_EXECUTE,file->subject,dst_embedding,7.137759686,6.478310585,0.659449100,42.204742432,0.659449100
FP_above_threshold:397:434164,397,434164,FP_above_threshold,EVENT_EXECUTE,file->subject,dst_type,7.137759686,5.934995651,1.202764034,3.608292103,1.202764034
FP_above_threshold:398:432850,398,432850,FP_above_threshold,EVENT_EXECUTE,file->subject,src_embedding,7.137759686,6.273558617,0.864201069,55.308868408,0.864201069
FP_above_threshold:398:432850,398,432850,FP_above_threshold,EVENT_EXECUTE,file->subject,src_type,7.137759686,4.217401505,2.920358181,8.761074066,2.920357943
FP_above_threshold:398:432850,398,432850,FP_above_threshold,EVENT_EXECUTE,file->subject,dst_embedding,7.137759686,6.478310585,0.659449100,42.204742432,0.659449100
FP_above_threshold:398:432850,398,432850,FP_above_threshold,EVENT_EXECUTE,file->subject,dst_type,7.137759686,5.934995651,1.202764034,3.608292103,1.202764034
FP_above_threshold:399:432305,399,432305,FP_above_threshold,EVENT_EXECUTE,file->subject,src_embedding,7.137759686,6.273558617,0.864201069,55.308868408,0.864201069
FP_above_threshold:399:432305,399,432305,FP_above_threshold,EVENT_EXECUTE,file->subject,src_type,7.137759686,4.217401505,2.920358181,8.761074066,2.920357943
FP_above_threshold:399:432305,399,432305,FP_above_threshold,EVENT_EXECUTE,file->subject,dst_embedding,7.137759686,6.478310585,0.659449100,42.204742432,0.659449100
FP_above_threshold:399:432305,399,432305,FP_above_threshold,EVENT_EXECUTE,file->subject,dst_type,7.137759686,5.934995651,1.202764034,3.608292103,1.202764034
FP_above_threshold:400:378386,400,378386,FP_above_threshold,EVENT_EXECUTE,file->subject,src_embedding,7.137759686,6.273558617,0.864201069,55.308868408,0.864201069
FP_above_threshold:400:378386,400,378386,FP_above_threshold,EVENT_EXECUTE,file->subject,src_type,7.137759686,4.217401505,2.920358181,8.761074066,2.920357943
FP_above_threshold:400:378386,400,378386,FP_above_threshold,EVENT_EXECUTE,file->subject,dst_embedding,7.137759686,6.478310585,0.659449100,42.204742432,0.659449100
FP_above_threshold:400:378386,400,378386,FP_above_threshold,EVENT_EXECUTE,file->subject,dst_type,7.137759686,5.934995651,1.202764034,3.608292103,1.202764034
FP_above_threshold:401:378204,401,378204,FP_above_threshold,EVENT_EXECUTE,file->subject,src_embedding,7.137759686,6.273558617,0.864201069,55.308868408,0.864201069
FP_above_threshold:401:378204,401,378204,FP_above_threshold,EVENT_EXECUTE,file->subject,src_type,7.137759686,4.217401505,2.920358181,8.761074066,2.920357943
FP_above_threshold:401:378204,401,378204,FP_above_threshold,EVENT_EXECUTE,file->subject,dst_embedding,7.137759686,6.478310585,0.659449100,42.204742432,0.659449100
FP_above_threshold:401:378204,401,378204,FP_above_threshold,EVENT_EXECUTE,file->subject,dst_type,7.137759686,5.934995651,1.202764034,3.608292103,1.202764034
FP_above_threshold:402:362798,402,362798,FP_above_threshold,EVENT_EXECUTE,file->subject,src_embedding,7.137759686,6.273558617,0.864201069,55.308868408,0.864201069
FP_above_threshold:402:362798,402,362798,FP_above_threshold,EVENT_EXECUTE,file->subject,src_type,7.137759686,4.217401505,2.920358181,8.761074066,2.920357943
FP_above_threshold:402:362798,402,362798,FP_above_threshold,EVENT_EXECUTE,file->subject,dst_embedding,7.137759686,6.478310585,0.659449100,42.204742432,0.659449100
FP_above_threshold:402:362798,402,362798,FP_above_threshold,EVENT_EXECUTE,file->subject,dst_type,7.137759686,5.934995651,1.202764034,3.608292103,1.202764034
FP_above_threshold:403:362644,403,362644,FP_above_threshold,EVENT_EXECUTE,file->subject,src_embedding,7.137759686,6.273558617,0.864201069,55.308868408,0.864201069
FP_above_threshold:403:362644,403,362644,FP_above_threshold,EVENT_EXECUTE,file->subject,src_type,7.137759686,4.217401505,2.920358181,8.761074066,2.920357943
FP_above_threshold:403:362644,403,362644,FP_above_threshold,EVENT_EXECUTE,file->subject,dst_embedding,7.137759686,6.478310585,0.659449100,42.204742432,0.659449100
FP_above_threshold:403:362644,403,362644,FP_above_threshold,EVENT_EXECUTE,file->subject,dst_type,7.137759686,5.934995651,1.202764034,3.608292103,1.202764034
FP_above_threshold:404:362606,404,362606,FP_above_threshold,EVENT_EXECUTE,file->subject,src_embedding,7.137759686,6.273558617,0.864201069,55.308868408,0.864201069
FP_above_threshold:404:362606,404,362606,FP_above_threshold,EVENT_EXECUTE,file->subject,src_type,7.137759686,4.217401505,2.920358181,8.761074066,2.920357943
FP_above_threshold:404:362606,404,362606,FP_above_threshold,EVENT_EXECUTE,file->subject,dst_embedding,7.137759686,6.478310585,0.659449100,42.204742432,0.659449100
FP_above_threshold:404:362606,404,362606,FP_above_threshold,EVENT_EXECUTE,file->subject,dst_type,7.137759686,5.934995651,1.202764034,3.608292103,1.202764034
FP_above_threshold:405:362479,405,362479,FP_above_threshold,EVENT_EXECUTE,file->subject,src_embedding,7.137759686,6.273558617,0.864201069,55.308868408,0.864201069
FP_above_threshold:405:362479,405,362479,FP_above_threshold,EVENT_EXECUTE,file->subject,src_type,7.137759686,4.217401505,2.920358181,8.761074066,2.920357943
FP_above_threshold:405:362479,405,362479,FP_above_threshold,EVENT_EXECUTE,file->subject,dst_embedding,7.137759686,6.478310585,0.659449100,42.204742432,0.659449100
FP_above_threshold:405:362479,405,362479,FP_above_threshold,EVENT_EXECUTE,file->subject,dst_type,7.137759686,5.934995651,1.202764034,3.608292103,1.202764034
FP_above_threshold:406:362274,406,362274,FP_above_threshold,EVENT_EXECUTE,file->subject,src_embedding,7.137759686,6.273558617,0.864201069,55.308868408,0.864201069
FP_above_threshold:406:362274,406,362274,FP_above_threshold,EVENT_EXECUTE,file->subject,src_type,7.137759686,4.217401505,2.920358181,8.761074066,2.920357943
FP_above_threshold:406:362274,406,362274,FP_above_threshold,EVENT_EXECUTE,file->subject,dst_embedding,7.137759686,6.478310585,0.659449100,42.204742432,0.659449100
FP_above_threshold:406:362274,406,362274,FP_above_threshold,EVENT_EXECUTE,file->subject,dst_type,7.137759686,5.934995651,1.202764034,3.608292103,1.202764034
FP_above_threshold:407:361822,407,361822,FP_above_threshold,EVENT_EXECUTE,file->subject,src_embedding,7.137759686,6.273558617,0.864201069,55.308868408,0.864201069
FP_above_threshold:407:361822,407,361822,FP_above_threshold,EVENT_EXECUTE,file->subject,src_type,7.137759686,4.217401505,2.920358181,8.761074066,2.920357943
FP_above_threshold:407:361822,407,361822,FP_above_threshold,EVENT_EXECUTE,file->subject,dst_embedding,7.137759686,6.478310585,0.659449100,42.204742432,0.659449100
FP_above_threshold:407:361822,407,361822,FP_above_threshold,EVENT_EXECUTE,file->subject,dst_type,7.137759686,5.934995651,1.202764034,3.608292103,1.202764034
FP_above_threshold:408:361769,408,361769,FP_above_threshold,EVENT_EXECUTE,file->subject,src_embedding,7.137759686,6.273558617,0.864201069,55.308868408,0.864201069
FP_above_threshold:408:361769,408,361769,FP_above_threshold,EVENT_EXECUTE,file->subject,src_type,7.137759686,4.217401505,2.920358181,8.761074066,2.920357943
FP_above_threshold:408:361769,408,361769,FP_above_threshold,EVENT_EXECUTE,file->subject,dst_embedding,7.137759686,6.478310585,0.659449100,42.204742432,0.659449100
FP_above_threshold:408:361769,408,361769,FP_above_threshold,EVENT_EXECUTE,file->subject,dst_type,7.137759686,5.934995651,1.202764034,3.608292103,1.202764034
FP_above_threshold:409:358811,409,358811,FP_above_threshold,EVENT_EXECUTE,file->subject,src_embedding,7.137759686,6.273558617,0.864201069,55.308868408,0.864201069
FP_above_threshold:409:358811,409,358811,FP_above_threshold,EVENT_EXECUTE,file->subject,src_type,7.137759686,4.217401505,2.920358181,8.761074066,2.920357943
FP_above_threshold:409:358811,409,358811,FP_above_threshold,EVENT_EXECUTE,file->subject,dst_embedding,7.137759686,6.478310585,0.659449100,42.204742432,0.659449100
FP_above_threshold:409:358811,409,358811,FP_above_threshold,EVENT_EXECUTE,file->subject,dst_type,7.137759686,5.934995651,1.202764034,3.608292103,1.202764034
FP_above_threshold:410:358760,410,358760,FP_above_threshold,EVENT_EXECUTE,file->subject,src_embedding,7.137759686,6.273558617,0.864201069,55.308868408,0.864201069
FP_above_threshold:410:358760,410,358760,FP_above_threshold,EVENT_EXECUTE,file->subject,src_type,7.137759686,4.217401505,2.920358181,8.761074066,2.920357943
FP_above_threshold:410:358760,410,358760,FP_above_threshold,EVENT_EXECUTE,file->subject,dst_embedding,7.137759686,6.478310585,0.659449100,42.204742432,0.659449100
FP_above_threshold:410:358760,410,358760,FP_above_threshold,EVENT_EXECUTE,file->subject,dst_type,7.137759686,5.934995651,1.202764034,3.608292103,1.202764034
