node_group,description,nodes,malicious,benign,above_threshold,score_mean,score_p50,score_p90,score_p99,score_max,responsible_loss_p50,responsible_loss_max,incident_edges_p50,incident_edges_p90,incident_edges_max,score_matches_responsible_loss
TP_above_threshold,TP: malicious above threshold,16,16,0,16,7.213035136,7.232574463,7.232574463,7.232574463,7.232574463,7.232574463,7.232574463,15.000,33.500,25297.000,16
FP_above_threshold,FP: benign above threshold,487,0,487,487,7.136634718,7.137760162,7.137760162,7.183391094,7.232573986,7.137760162,7.232573986,537.000,541.000,8940.000,487
FN_below_threshold,FN: malicious below threshold,102,102,0,0,1.223181411,0.775483429,0.784677899,7.034913983,7.034917831,0.775483429,7.034917831,3.000,37.800,48565.000,102
TN_high_below_threshold,"Top 50,000 benign nodes just below threshold",50000,0,50000,0,6.607800318,6.686594963,6.921830654,7.086448193,7.086448669,6.686594963,7.086448669,11.000,50.000,96991.000,50000
TN_other,Other benign below threshold,650297,0,650297,0,0.656644926,0.646904528,0.816534162,0.830309689,2.061099052,0.646904528,2.061099052,2.000,8.000,534180.000,650297
