node_group,src_label,count,fraction
FP_above_threshold,node 1250172,2,0.001848429
FP_above_threshold,node 1249933,2,0.001848429
FP_above_threshold,node 1249075,2,0.001848429
FP_above_threshold,node 1244520,2,0.001848429
FP_above_threshold,node 1244185,2,0.001848429
FP_above_threshold,node 1243063,2,0.001848429
FP_above_threshold,node 1242789,2,0.001848429
FP_above_threshold,node 1242716,2,0.001848429
FP_above_threshold,node 1235586,2,0.001848429
FP_above_threshold,node 1234582,2,0.001848429
FP_above_threshold,node 1233768,2,0.001848429
FP_above_threshold,node 1231390,2,0.001848429
FP_above_threshold,node 1230654,2,0.001848429
FP_above_threshold,node 1225867,2,0.001848429
FP_above_threshold,node 1225562,2,0.001848429
FP_above_threshold,node 1225395,2,0.001848429
FP_above_threshold,node 1224772,2,0.001848429
FP_above_threshold,node 1216493,2,0.001848429
FP_above_threshold,node 1215725,2,0.001848429
FP_above_threshold,node 1214368,2,0.001848429
FP_above_threshold,node 1213936,2,0.001848429
FP_above_threshold,node 1213814,2,0.001848429
FP_above_threshold,node 1213366,2,0.001848429
FP_above_threshold,node 2682605,2,0.001848429
FP_above_threshold,node 2681939,2,0.001848429
FP_above_threshold,node 2681878,2,0.001848429
FP_above_threshold,node 2681638,2,0.001848429
FP_above_threshold,node 2681307,2,0.001848429
FP_above_threshold,node 2680721,2,0.001848429
FP_above_threshold,node 2675045,2,0.001848429
FP_above_threshold,node 2673824,2,0.001848429
FP_above_threshold,node 2667331,2,0.001848429
FP_above_threshold,node 2665605,2,0.001848429
FP_above_threshold,node 2663878,2,0.001848429
FP_above_threshold,node 2662827,2,0.001848429
FP_above_threshold,node 2661658,2,0.001848429
FP_above_threshold,node 2659998,2,0.001848429
FP_above_threshold,node 2658919,2,0.001848429
FP_above_threshold,node 2658534,2,0.001848429
FP_above_threshold,node 2657680,2,0.001848429
FP_above_threshold,node 2656290,2,0.001848429
FP_above_threshold,node 2656109,2,0.001848429
FP_above_threshold,node 2655502,2,0.001848429
FP_above_threshold,node 2654951,2,0.001848429
FP_above_threshold,node 2654801,2,0.001848429
FP_above_threshold,node 2654399,2,0.001848429
FP_above_threshold,node 2653914,2,0.001848429
FP_above_threshold,node 2641544,2,0.001848429
FP_above_threshold,node 2640410,2,0.001848429
FP_above_threshold,node 2638979,2,0.001848429
FP_above_threshold,node 2637599,2,0.001848429
FP_above_threshold,node 2636293,2,0.001848429
FP_above_threshold,node 2635154,2,0.001848429
FP_above_threshold,node 2633500,2,0.001848429
FP_above_threshold,node 2632942,2,0.001848429
FP_above_threshold,node 2629506,2,0.001848429
FP_above_threshold,node 2628462,2,0.001848429
FP_above_threshold,node 2626335,2,0.001848429
FP_above_threshold,node 2626037,2,0.001848429
FP_above_threshold,node 2625988,2,0.001848429
FP_above_threshold,node 2625892,2,0.001848429
FP_above_threshold,node 2625757,2,0.001848429
FP_above_threshold,node 2625355,2,0.001848429
FP_above_threshold,node 2624914,2,0.001848429
FP_above_threshold,node 2624253,2,0.001848429
FP_above_threshold,node 2623943,2,0.001848429
FP_above_threshold,node 2623783,2,0.001848429
FP_above_threshold,node 2623738,2,0.001848429
FP_above_threshold,node 2623258,2,0.001848429
FP_above_threshold,node 2623079,2,0.001848429
FP_above_threshold,node 2622093,2,0.001848429
FP_above_threshold,node 2621672,2,0.001848429
FP_above_threshold,node 2621216,2,0.001848429
FP_above_threshold,node 2620783,2,0.001848429
FP_above_threshold,node 2619184,2,0.001848429
FP_above_threshold,node 2619036,2,0.001848429
FP_above_threshold,node 2618056,2,0.001848429
FP_above_threshold,node 2617568,2,0.001848429
FP_above_threshold,node 2617331,2,0.001848429
FP_above_threshold,node 2616674,2,0.001848429
FP_above_threshold,node 2610723,2,0.001848429
FP_above_threshold,node 2610672,2,0.001848429
FP_above_threshold,node 2610515,2,0.001848429
FP_above_threshold,node 2610167,2,0.001848429
FP_above_threshold,node 2608438,2,0.001848429
FP_above_threshold,node 2600510,2,0.001848429
FP_above_threshold,node 2599407,2,0.001848429
FP_above_threshold,node 2598653,2,0.001848429
FP_above_threshold,node 2597322,2,0.001848429
FP_above_threshold,node 2596253,2,0.001848429
FP_above_threshold,node 2595545,2,0.001848429
FP_above_threshold,node 2594447,2,0.001848429
FP_above_threshold,node 2593419,2,0.001848429
FP_above_threshold,node 2529055,2,0.001848429
FP_above_threshold,node 2528014,2,0.001848429
FP_above_threshold,node 2526248,2,0.001848429
FP_above_threshold,node 2525611,2,0.001848429
FP_above_threshold,node 2524915,2,0.001848429
FP_above_threshold,node 2523562,2,0.001848429
FP_above_threshold,node 2522897,2,0.001848429
FP_above_threshold,node 2521641,2,0.001848429
FP_above_threshold,node 2521312,2,0.001848429
FP_above_threshold,node 2519813,2,0.001848429
FP_above_threshold,node 2519109,2,0.001848429
FP_above_threshold,node 2517773,2,0.001848429
FP_above_threshold,node 2517041,2,0.001848429
FP_above_threshold,node 2515446,2,0.001848429
FP_above_threshold,node 2514213,2,0.001848429
FP_above_threshold,node 2513392,2,0.001848429
FP_above_threshold,node 2511469,2,0.001848429
FP_above_threshold,node 2510044,2,0.001848429
FP_above_threshold,node 2508763,2,0.001848429
FP_above_threshold,node 2507020,2,0.001848429
FP_above_threshold,node 2506350,2,0.001848429
FP_above_threshold,node 2505571,2,0.001848429
FP_above_threshold,node 2504774,2,0.001848429
FP_above_threshold,node 2503382,2,0.001848429
FP_above_threshold,node 2501322,2,0.001848429
FP_above_threshold,node 2500424,2,0.001848429
FP_above_threshold,node 2487661,2,0.001848429
FP_above_threshold,node 2487321,2,0.001848429
FP_above_threshold,node 2486339,2,0.001848429
FP_above_threshold,node 2486128,2,0.001848429
FP_above_threshold,node 2485909,2,0.001848429
FP_above_threshold,node 2485807,2,0.001848429
FP_above_threshold,node 2485441,2,0.001848429
FP_above_threshold,node 2484559,2,0.001848429
FP_above_threshold,node 2484476,2,0.001848429
FP_above_threshold,node 2484204,2,0.001848429
FP_above_threshold,node 2484018,2,0.001848429
FP_above_threshold,node 2483881,2,0.001848429
FP_above_threshold,node 2483790,2,0.001848429
FP_above_threshold,node 2483765,2,0.001848429
FP_above_threshold,node 2483495,2,0.001848429
FP_above_threshold,node 2483437,2,0.001848429
FP_above_threshold,node 2483023,2,0.001848429
FP_above_threshold,node 2482756,2,0.001848429
FP_above_threshold,node 2482570,2,0.001848429
FP_above_threshold,node 2481301,2,0.001848429
FP_above_threshold,node 2478663,2,0.001848429
FP_above_threshold,node 2478363,2,0.001848429
FP_above_threshold,node 2478023,2,0.001848429
FP_above_threshold,node 2477342,2,0.001848429
FP_above_threshold,node 2477077,2,0.001848429
FP_above_threshold,node 2476718,2,0.001848429
FP_above_threshold,node 2475740,2,0.001848429
FP_above_threshold,node 2474969,2,0.001848429
FP_above_threshold,node 2474514,2,0.001848429
FP_above_threshold,node 2474157,2,0.001848429
FP_above_threshold,node 2473172,2,0.001848429
FP_above_threshold,node 2473025,2,0.001848429
FP_above_threshold,node 2470116,2,0.001848429
FP_above_threshold,node 2469128,2,0.001848429
FP_above_threshold,node 2467697,2,0.001848429
FP_above_threshold,node 2466332,2,0.001848429
FP_above_threshold,node 2447850,2,0.001848429
FP_above_threshold,node 2447586,2,0.001848429
FP_above_threshold,node 2447350,2,0.001848429
FP_above_threshold,node 2445716,2,0.001848429
FP_above_threshold,node 2445346,2,0.001848429
FP_above_threshold,node 2445116,2,0.001848429
FP_above_threshold,node 2444952,2,0.001848429
FP_above_threshold,node 2441317,2,0.001848429
FP_above_threshold,node 2440831,2,0.001848429
FP_above_threshold,node 2440527,2,0.001848429
FP_above_threshold,node 2440014,2,0.001848429
FP_above_threshold,node 2437522,2,0.001848429
FP_above_threshold,node 2436730,2,0.001848429
FP_above_threshold,node 2435942,2,0.001848429
FP_above_threshold,node 2435147,2,0.001848429
FP_above_threshold,node 2434812,2,0.001848429
FP_above_threshold,node 2434005,2,0.001848429
FP_above_threshold,node 2432283,2,0.001848429
FP_above_threshold,node 2431382,2,0.001848429
FP_above_threshold,node 2430703,2,0.001848429
FP_above_threshold,node 2429295,2,0.001848429
FP_above_threshold,node 2427683,2,0.001848429
FP_above_threshold,node 2426230,2,0.001848429
FP_above_threshold,node 2425617,2,0.001848429
FP_above_threshold,node 2425006,2,0.001848429
FP_above_threshold,node 2424321,2,0.001848429
FP_above_threshold,node 2424218,2,0.001848429
FP_above_threshold,node 2424044,2,0.001848429
FP_above_threshold,node 2423358,2,0.001848429
FP_above_threshold,node 2423158,2,0.001848429
FP_above_threshold,node 2422158,2,0.001848429
FP_above_threshold,node 2421018,2,0.001848429
FP_above_threshold,node 2420136,2,0.001848429
FP_above_threshold,node 2419969,2,0.001848429
FP_above_threshold,node 2418883,2,0.001848429
FP_above_threshold,node 2418620,2,0.001848429
FP_above_threshold,node 2416993,2,0.001848429
FP_above_threshold,node 2413531,2,0.001848429
FP_above_threshold,node 2412545,2,0.001848429
FP_above_threshold,node 2412393,2,0.001848429
FP_above_threshold,node 2411636,2,0.001848429
FP_above_threshold,node 2411299,2,0.001848429
FP_above_threshold,node 2410702,2,0.001848429
FP_above_threshold,node 2410403,2,0.001848429
FP_above_threshold,node 2410120,2,0.001848429
FP_above_threshold,node 2410069,2,0.001848429
FP_above_threshold,node 2409915,2,0.001848429
FP_above_threshold,node 2409080,2,0.001848429
FP_above_threshold,node 2408490,2,0.001848429
FP_above_threshold,node 2408171,2,0.001848429
FP_above_threshold,node 2407932,2,0.001848429
FP_above_threshold,node 2407185,2,0.001848429
FP_above_threshold,node 2407034,2,0.001848429
FP_above_threshold,node 2406297,2,0.001848429
FP_above_threshold,node 2405321,2,0.001848429
FP_above_threshold,node 2404814,2,0.001848429
FP_above_threshold,node 2404205,2,0.001848429
FP_above_threshold,node 2403676,2,0.001848429
FP_above_threshold,node 2402915,2,0.001848429
FP_above_threshold,node 2402870,2,0.001848429
FP_above_threshold,node 2402657,2,0.001848429
FP_above_threshold,node 2402570,2,0.001848429
FP_above_threshold,node 2402416,2,0.001848429
FP_above_threshold,node 2401252,2,0.001848429
FP_above_threshold,node 2400580,2,0.001848429
FP_above_threshold,node 2400491,2,0.001848429
FP_above_threshold,node 2392163,2,0.001848429
FP_above_threshold,node 2390537,2,0.001848429
FP_above_threshold,node 2389061,2,0.001848429
FP_above_threshold,node 2387971,2,0.001848429
FP_above_threshold,node 2387092,2,0.001848429
FP_above_threshold,node 2386421,2,0.001848429
FP_above_threshold,node 2384416,2,0.001848429
FP_above_threshold,node 2316833,2,0.001848429
FP_above_threshold,node 2315580,2,0.001848429
FP_above_threshold,node 2313827,2,0.001848429
FP_above_threshold,node 2312226,2,0.001848429
FP_above_threshold,node 2310414,2,0.001848429
FP_above_threshold,node 2309056,2,0.001848429
FP_above_threshold,node 2307647,2,0.001848429
FP_above_threshold,node 2305693,2,0.001848429
FP_above_threshold,node 2304569,2,0.001848429
FP_above_threshold,node 2303184,2,0.001848429
FP_above_threshold,node 2301390,2,0.001848429
FP_above_threshold,node 2300513,2,0.001848429
FP_above_threshold,node 2298898,2,0.001848429
FP_above_threshold,node 2298290,2,0.001848429
FP_above_threshold,node 2296790,2,0.001848429
FP_above_threshold,node 2294756,2,0.001848429
FP_above_threshold,node 2293740,2,0.001848429
FP_above_threshold,node 2293041,2,0.001848429
FP_above_threshold,node 2291654,2,0.001848429
FP_above_threshold,node 2290027,2,0.001848429
FP_above_threshold,node 2279023,2,0.001848429
FP_above_threshold,node 2278956,2,0.001848429
FP_above_threshold,node 2278713,2,0.001848429
FP_above_threshold,node 2277978,2,0.001848429
FP_above_threshold,node 2276910,2,0.001848429
FP_above_threshold,node 2276439,2,0.001848429
FP_above_threshold,node 2275949,2,0.001848429
FP_above_threshold,node 2275437,2,0.001848429
FP_above_threshold,node 2268844,2,0.001848429
FP_above_threshold,node 2268689,2,0.001848429
FP_above_threshold,node 2268312,2,0.001848429
FP_above_threshold,node 2268031,2,0.001848429
FP_above_threshold,node 2267245,2,0.001848429
FP_above_threshold,node 2267122,2,0.001848429
FP_above_threshold,node 2266649,2,0.001848429
FP_above_threshold,node 2265916,2,0.001848429
FP_above_threshold,node 2264884,2,0.001848429
FP_above_threshold,node 2258701,2,0.001848429
FP_above_threshold,node 2258243,2,0.001848429
FP_above_threshold,node 2257858,2,0.001848429
FP_above_threshold,node 2257066,2,0.001848429
FP_above_threshold,node 2256701,2,0.001848429
FP_above_threshold,node 2256128,2,0.001848429
FP_above_threshold,node 2255623,2,0.001848429
FP_above_threshold,node 2255353,2,0.001848429
FP_above_threshold,node 2254907,2,0.001848429
FP_above_threshold,node 2251392,2,0.001848429
FP_above_threshold,node 2251060,2,0.001848429
FP_above_threshold,node 2251019,2,0.001848429
FP_above_threshold,node 2250004,2,0.001848429
FP_above_threshold,node 2249658,2,0.001848429
FP_above_threshold,node 2249116,2,0.001848429
FP_above_threshold,node 2248215,2,0.001848429
FP_above_threshold,node 2245564,2,0.001848429
FP_above_threshold,node 2243926,2,0.001848429
FP_above_threshold,node 2243126,2,0.001848429
FP_above_threshold,node 2242392,2,0.001848429
FP_above_threshold,node 2241344,2,0.001848429
FP_above_threshold,node 2239704,2,0.001848429
FP_above_threshold,node 2233420,2,0.001848429
FP_above_threshold,node 2233357,2,0.001848429
FP_above_threshold,node 2233171,2,0.001848429
FP_above_threshold,node 2232060,2,0.001848429
FP_above_threshold,node 2223510,2,0.001848429
FP_above_threshold,node 2223168,2,0.001848429
FP_above_threshold,node 2223095,2,0.001848429
FP_above_threshold,node 2222452,2,0.001848429
FP_above_threshold,node 2218880,2,0.001848429
FP_above_threshold,node 2217715,2,0.001848429
FP_above_threshold,node 2216680,2,0.001848429
FP_above_threshold,node 2215918,2,0.001848429
FP_above_threshold,node 2214912,2,0.001848429
FP_above_threshold,node 2214329,2,0.001848429
FP_above_threshold,node 2213236,2,0.001848429
FP_above_threshold,node 2213169,2,0.001848429
FP_above_threshold,node 2212324,2,0.001848429
FP_above_threshold,node 1302386,2,0.001848429
FP_above_threshold,node 1300898,2,0.001848429
FP_above_threshold,node 1300160,2,0.001848429
FP_above_threshold,node 1298758,2,0.001848429
FP_above_threshold,node 1297884,2,0.001848429
