case,rank,node_id,node_group,operation,type_pair,group,original_loss,ablated_loss,loss_drop_when_zeroed,captum_attr_sum,captum_attr_mean
FP_above_threshold:444:2425617,444,2425617,FP_above_threshold,EVENT_RECVMSG,file->subject,src_embedding,10.641149521,6.781163216,3.859986305,247.039093018,3.859985828
FP_above_threshold:444:2425617,444,2425617,FP_above_threshold,EVENT_RECVMSG,file->subject,src_type,10.641149521,8.151272774,2.489876747,7.469630241,2.489876747
FP_above_threshold:444:2425617,444,2425617,FP_above_threshold,EVENT_RECVMSG,file->subject,dst_embedding,10.641149521,12.159371376,-1.518221855,-97.166198730,-1.518221855
FP_above_threshold:444:2425617,444,2425617,FP_above_threshold,EVENT_RECVMSG,file->subject,dst_type,10.641149521,8.820920944,1.820228577,5.460685730,1.820228577
FP_above_threshold:445:2425006,445,2425006,FP_above_threshold,EVENT_RECVMSG,file->subject,src_embedding,10.641149521,6.781163216,3.859986305,247.039093018,3.859985828
FP_above_threshold:445:2425006,445,2425006,FP_above_threshold,EVENT_RECVMSG,file->subject,src_type,10.641149521,8.151272774,2.489876747,7.469630241,2.489876747
FP_above_threshold:445:2425006,445,2425006,FP_above_threshold,EVENT_RECVMSG,file->subject,dst_embedding,10.641149521,12.159371376,-1.518221855,-97.166198730,-1.518221855
FP_above_threshold:445:2425006,445,2425006,FP_above_threshold,EVENT_RECVMSG,file->subject,dst_type,10.641149521,8.820920944,1.820228577,5.460685730,1.820228577
FP_above_threshold:446:2424321,446,2424321,FP_above_threshold,EVENT_RECVMSG,file->subject,src_embedding,10.641149521,6.781163216,3.859986305,247.039093018,3.859985828
FP_above_threshold:446:2424321,446,2424321,FP_above_threshold,EVENT_RECVMSG,file->subject,src_type,10.641149521,8.151272774,2.489876747,7.469630241,2.489876747
FP_above_threshold:446:2424321,446,2424321,FP_above_threshold,EVENT_RECVMSG,file->subject,dst_embedding,10.641149521,12.159371376,-1.518221855,-97.166198730,-1.518221855
FP_above_threshold:446:2424321,446,2424321,FP_above_threshold,EVENT_RECVMSG,file->subject,dst_type,10.641149521,8.820920944,1.820228577,5.460685730,1.820228577
FP_above_threshold:447:2424218,447,2424218,FP_above_threshold,EVENT_RECVMSG,file->subject,src_embedding,10.641149521,6.781163216,3.859986305,247.039093018,3.859985828
FP_above_threshold:447:2424218,447,2424218,FP_above_threshold,EVENT_RECVMSG,file->subject,src_type,10.641149521,8.151272774,2.489876747,7.469630241,2.489876747
FP_above_threshold:447:2424218,447,2424218,FP_above_threshold,EVENT_RECVMSG,file->subject,dst_embedding,10.641149521,12.159371376,-1.518221855,-97.166198730,-1.518221855
FP_above_threshold:447:2424218,447,2424218,FP_above_threshold,EVENT_RECVMSG,file->subject,dst_type,10.641149521,8.820920944,1.820228577,5.460685730,1.820228577
FP_above_threshold:448:2424044,448,2424044,FP_above_threshold,EVENT_RECVMSG,file->subject,src_embedding,10.641149521,6.781163216,3.859986305,247.039093018,3.859985828
FP_above_threshold:448:2424044,448,2424044,FP_above_threshold,EVENT_RECVMSG,file->subject,src_type,10.641149521,8.151272774,2.489876747,7.469630241,2.489876747
FP_above_threshold:448:2424044,448,2424044,FP_above_threshold,EVENT_RECVMSG,file->subject,dst_embedding,10.641149521,12.159371376,-1.518221855,-97.166198730,-1.518221855
FP_above_threshold:448:2424044,448,2424044,FP_above_threshold,EVENT_RECVMSG,file->subject,dst_type,10.641149521,8.820920944,1.820228577,5.460685730,1.820228577
FP_above_threshold:449:2423358,449,2423358,FP_above_threshold,EVENT_RECVMSG,file->subject,src_embedding,10.641149521,6.781163216,3.859986305,247.039093018,3.859985828
FP_above_threshold:449:2423358,449,2423358,FP_above_threshold,EVENT_RECVMSG,file->subject,src_type,10.641149521,8.151272774,2.489876747,7.469630241,2.489876747
FP_above_threshold:449:2423358,449,2423358,FP_above_threshold,EVENT_RECVMSG,file->subject,dst_embedding,10.641149521,12.159371376,-1.518221855,-97.166198730,-1.518221855
FP_above_threshold:449:2423358,449,2423358,FP_above_threshold,EVENT_RECVMSG,file->subject,dst_type,10.641149521,8.820920944,1.820228577,5.460685730,1.820228577
FP_above_threshold:450:2423158,450,2423158,FP_above_threshold,EVENT_RECVMSG,file->subject,src_embedding,10.641149521,6.781163216,3.859986305,247.039093018,3.859985828
FP_above_threshold:450:2423158,450,2423158,FP_above_threshold,EVENT_RECVMSG,file->subject,src_type,10.641149521,8.151272774,2.489876747,7.469630241,2.489876747
FP_above_threshold:450:2423158,450,2423158,FP_above_threshold,EVENT_RECVMSG,file->subject,dst_embedding,10.641149521,12.159371376,-1.518221855,-97.166198730,-1.518221855
FP_above_threshold:450:2423158,450,2423158,FP_above_threshold,EVENT_RECVMSG,file->subject,dst_type,10.641149521,8.820920944,1.820228577,5.460685730,1.820228577
FP_above_threshold:451:2422158,451,2422158,FP_above_threshold,EVENT_RECVMSG,file->subject,src_embedding,10.641149521,6.781163216,3.859986305,247.039093018,3.859985828
FP_above_threshold:451:2422158,451,2422158,FP_above_threshold,EVENT_RECVMSG,file->subject,src_type,10.641149521,8.151272774,2.489876747,7.469630241,2.489876747
FP_above_threshold:451:2422158,451,2422158,FP_above_threshold,EVENT_RECVMSG,file->subject,dst_embedding,10.641149521,12.159371376,-1.518221855,-97.166198730,-1.518221855
