node_group,dst_label,count,fraction
FP_above_threshold,node 232432,2,0.001848429
FP_above_threshold,node 232385,2,0.001848429
FP_above_threshold,node 232295,2,0.001848429
FP_above_threshold,node 231740,2,0.001848429
FP_above_threshold,node 231698,2,0.001848429
FP_above_threshold,node 231565,2,0.001848429
FP_above_threshold,node 231536,2,0.001848429
FP_above_threshold,node 231520,2,0.001848429
FP_above_threshold,node 230701,2,0.001848429
FP_above_threshold,node 230593,2,0.001848429
FP_above_threshold,node 230481,2,0.001848429
FP_above_threshold,node 230203,2,0.001848429
FP_above_threshold,node 230071,2,0.001848429
FP_above_threshold,node 229511,2,0.001848429
FP_above_threshold,node 229467,2,0.001848429
FP_above_threshold,node 229444,2,0.001848429
FP_above_threshold,node 229370,2,0.001848429
FP_above_threshold,node 228338,2,0.001848429
FP_above_threshold,node 228262,2,0.001848429
FP_above_threshold,node 228233,2,0.001848429
FP_above_threshold,node 228188,2,0.001848429
FP_above_threshold,node 228168,2,0.001848429
FP_above_threshold,node 228104,2,0.001848429
FP_above_threshold,node 379442,2,0.001848429
FP_above_threshold,node 379341,2,0.001848429
FP_above_threshold,node 379332,2,0.001848429
FP_above_threshold,node 379297,2,0.001848429
FP_above_threshold,node 379269,2,0.001848429
FP_above_threshold,node 379195,2,0.001848429
FP_above_threshold,node 378443,2,0.001848429
FP_above_threshold,node 378303,2,0.001848429
FP_above_threshold,node 377527,2,0.001848429
FP_above_threshold,node 377373,2,0.001848429
FP_above_threshold,node 377186,2,0.001848429
FP_above_threshold,node 377092,2,0.001848429
FP_above_threshold,node 376978,2,0.001848429
FP_above_threshold,node 376805,2,0.001848429
FP_above_threshold,node 376680,2,0.001848429
FP_above_threshold,node 376640,2,0.001848429
FP_above_threshold,node 376548,2,0.001848429
FP_above_threshold,node 376384,2,0.001848429
FP_above_threshold,node 376361,2,0.001848429
FP_above_threshold,node 376288,2,0.001848429
FP_above_threshold,node 376226,2,0.001848429
FP_above_threshold,node 376203,2,0.001848429
FP_above_threshold,node 376142,2,0.001848429
FP_above_threshold,node 376081,2,0.001848429
FP_above_threshold,node 374523,2,0.001848429
FP_above_threshold,node 374384,2,0.001848429
FP_above_threshold,node 374231,2,0.001848429
FP_above_threshold,node 374091,2,0.001848429
FP_above_threshold,node 373948,2,0.001848429
FP_above_threshold,node 373833,2,0.001848429
FP_above_threshold,node 373660,2,0.001848429
FP_above_threshold,node 373581,2,0.001848429
FP_above_threshold,node 373163,2,0.001848429
FP_above_threshold,node 373032,2,0.001848429
FP_above_threshold,node 372822,2,0.001848429
FP_above_threshold,node 372771,2,0.001848429
FP_above_threshold,node 372763,2,0.001848429
FP_above_threshold,node 372742,2,0.001848429
FP_above_threshold,node 372731,2,0.001848429
FP_above_threshold,node 372696,2,0.001848429
FP_above_threshold,node 372633,2,0.001848429
FP_above_threshold,node 372554,2,0.001848429
FP_above_threshold,node 372526,2,0.001848429
FP_above_threshold,node 372493,2,0.001848429
FP_above_threshold,node 372475,2,0.001848429
FP_above_threshold,node 372425,2,0.001848429
FP_above_threshold,node 372384,2,0.001848429
FP_above_threshold,node 372286,2,0.001848429
FP_above_threshold,node 372236,2,0.001848429
FP_above_threshold,node 372193,2,0.001848429
FP_above_threshold,node 372153,2,0.001848429
FP_above_threshold,node 371985,2,0.001848429
FP_above_threshold,node 371966,2,0.001848429
FP_above_threshold,node 371884,2,0.001848429
FP_above_threshold,node 371819,2,0.001848429
FP_above_threshold,node 371786,2,0.001848429
FP_above_threshold,node 371725,2,0.001848429
FP_above_threshold,node 371060,2,0.001848429
FP_above_threshold,node 371042,2,0.001848429
FP_above_threshold,node 371023,2,0.001848429
FP_above_threshold,node 370987,2,0.001848429
FP_above_threshold,node 370783,2,0.001848429
FP_above_threshold,node 370016,2,0.001848429
FP_above_threshold,node 369909,2,0.001848429
FP_above_threshold,node 369835,2,0.001848429
FP_above_threshold,node 369709,2,0.001848429
FP_above_threshold,node 369605,2,0.001848429
FP_above_threshold,node 369521,2,0.001848429
FP_above_threshold,node 369423,2,0.001848429
FP_above_threshold,node 369319,2,0.001848429
FP_above_threshold,node 363152,2,0.001848429
FP_above_threshold,node 363043,2,0.001848429
FP_above_threshold,node 362885,2,0.001848429
FP_above_threshold,node 362807,2,0.001848429
FP_above_threshold,node 362744,2,0.001848429
FP_above_threshold,node 362596,2,0.001848429
FP_above_threshold,node 362524,2,0.001848429
FP_above_threshold,node 362395,2,0.001848429
FP_above_threshold,node 362335,2,0.001848429
FP_above_threshold,node 362198,2,0.001848429
FP_above_threshold,node 362115,2,0.001848429
FP_above_threshold,node 361985,2,0.001848429
FP_above_threshold,node 361899,2,0.001848429
FP_above_threshold,node 361746,2,0.001848429
FP_above_threshold,node 361630,2,0.001848429
FP_above_threshold,node 361529,2,0.001848429
FP_above_threshold,node 361327,2,0.001848429
FP_above_threshold,node 361186,2,0.001848429
FP_above_threshold,node 361050,2,0.001848429
FP_above_threshold,node 360874,2,0.001848429
FP_above_threshold,node 360809,2,0.001848429
FP_above_threshold,node 360708,2,0.001848429
FP_above_threshold,node 360624,2,0.001848429
FP_above_threshold,node 360471,2,0.001848429
FP_above_threshold,node 360273,2,0.001848429
FP_above_threshold,node 360173,2,0.001848429
FP_above_threshold,node 358671,2,0.001848429
FP_above_threshold,node 358641,2,0.001848429
FP_above_threshold,node 358515,2,0.001848429
FP_above_threshold,node 358480,2,0.001848429
FP_above_threshold,node 358462,2,0.001848429
FP_above_threshold,node 358441,2,0.001848429
FP_above_threshold,node 358410,2,0.001848429
FP_above_threshold,node 358307,2,0.001848429
FP_above_threshold,node 358289,2,0.001848429
FP_above_threshold,node 358258,2,0.001848429
FP_above_threshold,node 358235,2,0.001848429
FP_above_threshold,node 358217,2,0.001848429
FP_above_threshold,node 358206,2,0.001848429
FP_above_threshold,node 358195,2,0.001848429
FP_above_threshold,node 358150,2,0.001848429
FP_above_threshold,node 358134,2,0.001848429
FP_above_threshold,node 358080,2,0.001848429
FP_above_threshold,node 358040,2,0.001848429
FP_above_threshold,node 358021,2,0.001848429
FP_above_threshold,node 357895,2,0.001848429
FP_above_threshold,node 357541,2,0.001848429
FP_above_threshold,node 357510,2,0.001848429
FP_above_threshold,node 357477,2,0.001848429
FP_above_threshold,node 357399,2,0.001848429
FP_above_threshold,node 357367,2,0.001848429
FP_above_threshold,node 357319,2,0.001848429
FP_above_threshold,node 357213,2,0.001848429
FP_above_threshold,node 357131,2,0.001848429
FP_above_threshold,node 357076,2,0.001848429
FP_above_threshold,node 357037,2,0.001848429
FP_above_threshold,node 356932,2,0.001848429
FP_above_threshold,node 356914,2,0.001848429
FP_above_threshold,node 356582,2,0.001848429
FP_above_threshold,node 356482,2,0.001848429
FP_above_threshold,node 356333,2,0.001848429
FP_above_threshold,node 356207,2,0.001848429
FP_above_threshold,node 355589,2,0.001848429
FP_above_threshold,node 355551,2,0.001848429
FP_above_threshold,node 355506,2,0.001848429
FP_above_threshold,node 355321,2,0.001848429
FP_above_threshold,node 355280,2,0.001848429
FP_above_threshold,node 355252,2,0.001848429
FP_above_threshold,node 355230,2,0.001848429
FP_above_threshold,node 354744,2,0.001848429
FP_above_threshold,node 354694,2,0.001848429
FP_above_threshold,node 354659,2,0.001848429
FP_above_threshold,node 354597,2,0.001848429
FP_above_threshold,node 354242,2,0.001848429
FP_above_threshold,node 354166,2,0.001848429
FP_above_threshold,node 354083,2,0.001848429
FP_above_threshold,node 353991,2,0.001848429
FP_above_threshold,node 353959,2,0.001848429
FP_above_threshold,node 353868,2,0.001848429
FP_above_threshold,node 353687,2,0.001848429
FP_above_threshold,node 353585,2,0.001848429
FP_above_threshold,node 353525,2,0.001848429
FP_above_threshold,node 353384,2,0.001848429
FP_above_threshold,node 353210,2,0.001848429
FP_above_threshold,node 353072,2,0.001848429
FP_above_threshold,node 352990,2,0.001848429
FP_above_threshold,node 352906,2,0.001848429
FP_above_threshold,node 352846,2,0.001848429
FP_above_threshold,node 352828,2,0.001848429
FP_above_threshold,node 352810,2,0.001848429
