node_group,operation,type_pair,feature_group,edge_count,loss_drop_mean,loss_drop_median,loss_drop_p10,loss_drop_p90
FN_below_threshold,EVENT_CONNECT,subject->file,dst_embedding,1,0.785748124,0.785748124,0.785748124,0.785748124
FN_below_threshold,EVENT_CONNECT,subject->file,dst_type,1,0.254569650,0.254569650,0.254569650,0.254569650
FN_below_threshold,EVENT_WRITE,subject->netflow,src_embedding,1,2.158060019,2.158060019,2.158060019,2.158060019
FN_below_threshold,EVENT_WRITE,subject->netflow,src_type,1,0.266234398,0.266234398,0.266234398,0.266234398
FN_below_threshold,EVENT_WRITE,subject->netflow,dst_embedding,1,-0.857060194,-0.857060194,-0.857060194,-0.857060194
FN_below_threshold,EVENT_WRITE,subject->netflow,dst_type,1,-1.482972383,-1.482972383,-1.482972383,-1.482972383
TN_high_below_threshold,EVENT_EXECUTE,file->subject,src_embedding,491,1.519328852,1.422961235,1.422961235,2.034184456
TN_high_below_threshold,EVENT_EXECUTE,file->subject,src_type,491,3.135324023,3.830658436,-1.179130554,3.830658436
TN_high_below_threshold,EVENT_EXECUTE,file->subject,dst_embedding,491,-2.130659276,-2.019194603,-2.822532654,-2.019194603
TN_high_below_threshold,EVENT_EXECUTE,file->subject,dst_type,491,0.904474102,0.948801517,0.634737968,0.948801517
TN_high_below_threshold,EVENT_RECVFROM,file->subject,src_embedding,9,3.362988472,3.362988472,3.362988472,3.362988472
TN_high_below_threshold,EVENT_RECVFROM,file->subject,src_type,9,2.407253742,2.407253742,2.407253742,2.407253742
TN_high_below_threshold,EVENT_RECVFROM,file->subject,dst_embedding,9,-0.409184456,-0.409184456,-0.409184456,-0.409184456
TN_high_below_threshold,EVENT_RECVFROM,file->subject,dst_type,9,1.493432045,1.493432045,1.493432045,1.493432045
