node_group,description,nodes,malicious,benign,above_threshold,score_mean,score_p50,score_p90,score_p99,score_max,responsible_loss_p50,responsible_loss_max,incident_edges_p50,incident_edges_p90,incident_edges_max,score_matches_responsible_loss
TP_above_threshold,TP: malicious above threshold,0,0,0,0,,,,,,,,,,,0
FP_above_threshold,FP: benign above threshold,0,0,0,0,,,,,,,,,,,0
FN_below_threshold,FN: malicious below threshold,114,114,0,0,2.177141020,1.943778634,4.281718421,9.995974865,16.262302399,1.943778634,16.262302399,7.000,193.000,295897.000,114
TN_high_below_threshold,Top 500 benign nodes just below threshold,500,0,500,0,8.372576877,7.254030228,12.050483513,15.577588081,19.017999649,7.254030228,19.017999649,4.000,135.300,871283.000,500
TN_other,Other benign below threshold,1470010,0,1470010,0,0.401220449,0.143761218,0.732991397,2.305099726,6.741163731,0.143761218,6.741163731,2.000,3.000,2254676.000,1470010
