case,rank,node_id,node_group,operation,type_pair,group,original_loss,ablated_loss,loss_drop_when_zeroed,captum_attr_sum,captum_attr_mean
TN_high_below_threshold:9:10426,9,10426,TN_high_below_threshold,RENAME,subject->file,dst_embedding,15.577589035,5.902541637,9.675047398,1238.406127930,9.675047874
TN_high_below_threshold:9:10426,9,10426,TN_high_below_threshold,RENAME,subject->file,dst_type,15.577589035,16.879608154,-1.302019119,-3.906057358,-1.302019119
TN_high_below_threshold:10:281405,10,281405,TN_high_below_threshold,RENAME,subject->file,src_embedding,15.024264336,12.406529427,2.617734909,335.070068359,2.617734909
TN_high_below_threshold:10:281405,10,281405,TN_high_below_threshold,RENAME,subject->file,src_type,15.024264336,12.527819633,2.496444702,7.489334106,2.496444702
TN_high_below_threshold:10:281405,10,281405,TN_high_below_threshold,RENAME,subject->file,dst_embedding,15.024264336,5.902660370,9.121603966,1167.565307617,9.121603966
TN_high_below_threshold:10:281405,10,281405,TN_high_below_threshold,RENAME,subject->file,dst_type,15.024264336,16.345424652,-1.321160316,-3.963480949,-1.321160316
TN_high_below_threshold:11:281403,11,281403,TN_high_below_threshold,RENAME,subject->file,src_embedding,15.024264336,12.406529427,2.617734909,335.070068359,2.617734909
TN_high_below_threshold:11:281403,11,281403,TN_high_below_threshold,RENAME,subject->file,src_type,15.024264336,12.527819633,2.496444702,7.489334106,2.496444702
TN_high_below_threshold:11:281403,11,281403,TN_high_below_threshold,RENAME,subject->file,dst_embedding,15.024264336,5.902660370,9.121603966,1167.565307617,9.121603966
TN_high_below_threshold:11:281403,11,281403,TN_high_below_threshold,RENAME,subject->file,dst_type,15.024264336,16.345424652,-1.321160316,-3.963480949,-1.321160316
TN_high_below_threshold:12:33819,12,33819,TN_high_below_threshold,RENAME,subject->file,src_embedding,15.024264336,12.406529427,2.617734909,335.070068359,2.617734909
TN_high_below_threshold:12:33819,12,33819,TN_high_below_threshold,RENAME,subject->file,src_type,15.024264336,12.527819633,2.496444702,7.489334106,2.496444702
TN_high_below_threshold:12:33819,12,33819,TN_high_below_threshold,RENAME,subject->file,dst_embedding,15.024264336,5.902660370,9.121603966,1167.565307617,9.121603966
TN_high_below_threshold:12:33819,12,33819,TN_high_below_threshold,RENAME,subject->file,dst_type,15.024264336,16.345424652,-1.321160316,-3.963480949,-1.321160316
TN_high_below_threshold:13:297771,13,297771,TN_high_below_threshold,MODIFY,subject->file,src_embedding,14.144761086,0.213678017,13.931083068,1783.178588867,13.931082726
TN_high_below_threshold:13:297771,13,297771,TN_high_below_threshold,MODIFY,subject->file,src_type,14.144761086,19.482686996,-5.337925911,-16.013778687,-5.337926388
TN_high_below_threshold:13:297771,13,297771,TN_high_below_threshold,MODIFY,subject->file,dst_embedding,14.144761086,16.111457825,-1.966696739,-251.737182617,-1.966696739
TN_high_below_threshold:13:297771,13,297771,TN_high_below_threshold,MODIFY,subject->file,dst_type,14.144761086,16.409637451,-2.264876366,-6.794629097,-2.264876366
TN_high_below_threshold:14:35326,14,35326,TN_high_below_threshold,MODIFY,subject->file,src_embedding,14.144761086,0.213678017,13.931083068,1783.178588867,13.931082726
TN_high_below_threshold:14:35326,14,35326,TN_high_below_threshold,MODIFY,subject->file,src_type,14.144761086,19.482686996,-5.337925911,-16.013778687,-5.337926388
TN_high_below_threshold:14:35326,14,35326,TN_high_below_threshold,MODIFY,subject->file,dst_embedding,14.144761086,16.111457825,-1.966696739,-251.737182617,-1.966696739
TN_high_below_threshold:14:35326,14,35326,TN_high_below_threshold,MODIFY,subject->file,dst_type,14.144761086,16.409637451,-2.264876366,-6.794629097,-2.264876366
