model_label,exp,selection_rule,score_epoch,threshold_method,threshold,max_val_loss,mean_val_loss,percentile_90_val_loss,val_file_count,val_row_count,nodes,benign_nodes,malicious_nodes,attack_nodes,tp,fp,fn,tn,precision,recall,f1,roc_auc,average_precision,alert_boundary_lower,alert_boundary_upper,alert_boundary_midpoint,score_min,score_q50,score_q90,score_q99,score_q999,score_max,benign_q99,benign_max,malicious_q50,malicious_q90,malicious_max,score_path,state_path,val_edge_loss_dir,test_edge_loss_dir
Leaky selected,velox_THEIA_E3_selected_w5_lr0001_h64_seed0,"leaky ADP-selected configuration, seed 0",0,max_val_loss,4.8995466232299805,4.8995466232299805,0.7430970667915872,0.8224755525588989,308,257416,700902,700784,118,118,8,8,110,700776,0.5,0.06779661016949153,0.11940298507462686,0.7498174623114606,0.11936901485113144,4.899395942687988,5.485175132751465,5.192285537719727,0.0016783688915893,0.727209210395813,1.0625638961791992,2.313408136367798,3.510854721069336,7.779693603515625,2.313408136367798,5.5528669357299805,0.8518733382225037,4.873387145996094,7.779693603515625,inputs/ulhpc_theia_e3/leaky_selected/scores_model_epoch_0.pkl,inputs/ulhpc_theia_e3/leaky_selected/state_dict.pkl,inputs/ulhpc_theia_e3/leaky_selected/edge_losses/val,inputs/ulhpc_theia_e3/leaky_selected/edge_losses/test
Non-leaky selected,velox_THEIA_E3_nonleaky_selected_eval_epoch3,"validation-loss-selected configuration, seed 0",3,max_val_loss,6.249447345733643,6.249447345733643,0.6524782422584092,0.76424640417099,271,257311,700902,700784,118,118,18,464,100,700320,0.03734439834024896,0.15254237288135594,0.06,0.7041567923344739,0.057814052923926836,6.249447345733643,6.291540622711182,6.270493984222412,7.033323527139146e-06,0.6659703254699707,0.9511152505874634,3.001065731048584,5.940767288208008,25.443239212036133,2.9588544368743896,25.443239212036133,0.7764619886875153,8.789449691772461,15.035508155822754,inputs/ulhpc_theia_e3/nonleaky_selected/scores_model_epoch_3.pkl,inputs/ulhpc_theia_e3/nonleaky_selected/state_dict.pkl,inputs/ulhpc_theia_e3/nonleaky_selected/edge_losses/val,inputs/ulhpc_theia_e3/nonleaky_selected/edge_losses/test
