seed,selected_epoch,best_val_loss,adp,auc,ap,tp,fp,tn,fn,fpr,precision,recall,fscore,discrimination,checkpoint_sha256,checkpoint_path,scores_path
0,7,0.6091620351885353,0.003,0.56116,0.00048,0,561,700223,118,0.0008005,0,0,0,-0.5795,5c0fc0abb3527e343b9193ad9f040da5af76c005ef0828e34e8bea9fcca3b28a,/home/artifacts/training/training/1114df43bb7f13e9ab65c9bdce7f41ab07f089d75ec2a2f1a4a80d11290c474d/THEIA_E3/trained_models/model_epoch_7,/home/artifacts/evaluation/evaluation/3f41b46f4375405d229d88485f466756cc1d3dde77a949ec0c604b3c5f098354/THEIA_E3/precision_recall_dir/scores_model_epoch_7.pkl
1,7,0.6283816283069394,0.011,0.62195,0.00103,1,627,700157,117,0.0008947,0.00159,0.00847,0.00268,-0.4076,44513194dd68d59303065821afa9eee205fcc708cf74f3b20e5b06f4820b6a10,/home/artifacts/training/training/edc2c328b150d431ee1a7679c130f36fe030c4ce1fa1a30ade9a02cbf2524ee7/THEIA_E3/trained_models/model_epoch_7,/home/artifacts/evaluation/evaluation/5eec968ead69a93f1d5986b993a22636b3a80b578d2d6fb09ac46dde15b23728/THEIA_E3/precision_recall_dir/scores_model_epoch_7.pkl
2,5,0.6156043887837928,0.045,0.63913,0.00345,1,61,700723,117,0.000087,0.01613,0.00847,0.01111,-0.4096,c407caf08739fde580061be8b13a9cd0162c7e557f3b4941f4626f5f2d23f85a,/home/artifacts/training/training/39ab3a9cfd4793c77bfa985189e8a24809ffbbcfb385c0309ac664e5e48922d2/THEIA_E3/trained_models/model_epoch_5,/home/artifacts/evaluation/evaluation/ae7a653c84ba5a652316f20108b123ed39d0b3f6aae6ed25034226b8a456f2e5/THEIA_E3/precision_recall_dir/scores_model_epoch_5.pkl
3,3,0.6251064904040919,0.014,0.57244,0.0013,1,69,700715,117,0.0000985,0.01429,0.00847,0.01064,-0.3866,1595495a521db1cb41bd50c9a986bb1864949da57fb4e7efc6054beb6c4493fd,/home/artifacts/training/training/bec62cf918e6145fee9cf6b28bf859229ba523ad078666f1508ff2178f341785/THEIA_E3/trained_models/model_epoch_3,/home/artifacts/evaluation/evaluation/81f46e07fcf825710400c88e6e4e7a54019481835d9b307e48ad0271ca7468b4/THEIA_E3/precision_recall_dir/scores_model_epoch_3.pkl
4,11,0.6119085807972794,0.009,0.62142,0.00129,0,554,700230,118,0.0007905,0,0,0,-0.5259,879db6e69cea55772fb2e74c0d203ad68b5fbd3119c69b33b201d59477b3305f,/home/artifacts/training/training/5fa519712dd2d68f6c38ad38a424c5d93abd814caa72ce05a7d76acb1d255d53/THEIA_E3/trained_models/model_epoch_11,/home/artifacts/evaluation/evaluation/072e90f5a9da5f0feeb6e6fcbcf964a841daa2e42e9d1f75f3595872c7b5d090/THEIA_E3/precision_recall_dir/scores_model_epoch_11.pkl
